Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
2237,Hal Robson-Kanu,WAL,FW,West Brom,Premier League,31,1989,6.2,2,0,0,15,10,4,3,4,3,0,0,0,26,7,29,19.4,Matches
2238,Marc Roca,ESP,MF,Bayern Munich,Bundesliga,23,1996,2.0,1,0,0,6,2,0,2,1,4,0,0,0,18,1,2,33.3,Matches
2239,Christopher Rocchia,FRA,DF,Marseille,Ligue 1,22,1998,0.2,0,0,0,2,1,0,0,0,1,0,0,0,3,0,0,0.0,Matches
2240,Rubén Rochina,ESP,MF,Levante,La Liga,29,1991,15.6,5,0,0,39,31,0,28,22,31,0,0,0,152,22,13,62.9,Matches
2241,Marek Rodák,SVK,GK,Fulham,Premier League,23,1996,2.0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0.0,Matches
2242,Sebastian Rode,GER,MF,Eint Frankfurt,Bundesliga,29,1990,18.1,10,0,0,30,21,0,8,43,30,0,0,0,210,26,21,55.3,Matches
2243,Joe Rodon,WAL,DF,Tottenham,Premier League,22,1997,8.1,0,0,0,2,8,1,0,13,9,0,0,0,73,24,11,68.6,Matches
2244,Rodri,ESP,MF,Manchester City,Premier League,24,1996,30.5,6,0,0,44,30,3,12,40,60,0,0,0,417,91,28,76.5,Matches
2245,Rodrigo,ESP,"MF,FW",Leeds United,Premier League,29,1991,14.3,3,0,0,20,9,3,20,9,13,0,1,0,101,25,34,42.4,Matches
2246,Rodrigo,ESP,"FW,MF",Betis,La Liga,20,2000,6.0,0,0,0,1,16,2,10,2,2,0,0,0,43,1,8,11.1,Matches
2247,Kévin Rodrigues,POR,"DF,MF",Eibar,La Liga,26,1994,12.2,1,0,0,9,16,1,41,14,11,0,0,0,121,13,36,26.5,Matches
2248,Óscar Rodríguez Arnaiz,ESP,"MF,FW",Sevilla,La Liga,22,1998,5.7,1,0,0,14,11,0,19,8,14,0,0,0,46,7,8,46.7,Matches
2249,Ángel Rodríguez,ESP,"FW,MF",Getafe,La Liga,33,1987,15.3,4,0,0,27,21,13,14,2,2,1,0,0,68,26,77,25.2,Matches
2250,Guido Rodríguez,ARG,MF,Betis,La Liga,26,1994,31.8,10,0,0,60,47,0,4,58,69,0,1,0,351,57,41,58.2,Matches
2251,James Rodríguez,COL,"FW,MF",Everton,Premier League,29,1991,19.6,4,0,0,17,40,6,35,16,14,1,0,0,141,5,15,25.0,Matches
2252,Jay Rodriguez,ENG,"FW,MF",Burnley,Premier League,31,1989,14.1,3,0,0,31,18,15,4,4,14,0,0,0,69,45,86,34.4,Matches
2253,Miguel Rodríguez,ESP,"FW,MF",Celta Vigo,La Liga,17,2003,0.3,2,0,0,2,1,0,1,0,2,0,0,0,1,0,1,0.0,Matches
2254,Ricardo Rodríguez,SUI,DF,Torino,Serie A,27,1992,13.8,1,0,0,13,6,0,10,24,15,0,0,0,87,18,13,58.1,Matches
2255,Víctor Rodríguez,ESP,MF,Elche,La Liga,31,1989,4.7,1,0,0,9,8,0,2,9,4,0,0,0,37,5,4,55.6,Matches
2256,Rodrygo,BRA,FW,Real Madrid,La Liga,19,2001,10.9,0,0,0,16,23,1,15,7,7,0,0,0,48,9,14,39.1,Matches
2257,Marko Rog,CRO,MF,Cagliari,Serie A,25,1995,12.9,2,0,0,33,23,0,6,12,25,0,0,0,128,8,14,36.4,Matches
2258,Rogério,BRA,DF,Sassuolo,Serie A,22,1998,20.9,4,0,0,28,25,1,55,25,15,0,0,0,160,19,14,57.6,Matches
2259,Luis Rojas,CHI,"MF,FW",Crotone,Serie A,18,2002,1.2,1,0,0,2,0,0,1,4,0,0,0,0,10,2,0,100.0,Matches
2260,Alessio Romagnoli,ITA,DF,Milan,Serie A,25,1995,21.2,7,0,0,21,11,0,1,14,9,0,1,0,162,58,25,69.9,Matches
2261,Cristian Romero,ARG,DF,Atalanta,Serie A,22,1998,28.3,10,0,0,71,33,0,0,81,46,1,0,0,358,112,54,67.5,Matches
2262,Oriol Romeu,ESP,MF,Southampton,Premier League,28,1991,19.6,6,0,0,30,23,0,5,27,35,0,0,0,279,35,28,55.6,Matches
